dataset,explainer,model,rho,perc_d_1,count,success_count,success_rate,sparsity,proximity,correlation_preservation,gen_time,inf_time,shape_deviation,time_candidate_selection,time_priority,time_full,time_fallback,num_model_calls,num_shape_tests,shape_preserved_count,shape_preserved_rate,phase_priority_count,phase_priority_rate,phase_full_count,phase_full_rate,phase_fallback_count,phase_fallback_rate,phase_none_count,phase_none_rate
HNEI,CESA,HNEI_HNEI_GradientBoostingSurvival,change_point,0.25,158,142,0.8987341772151899,0.32092555331991957,50270.45295298463,5.306857673054254,0.1822191078302329,0.0029997682045369,2.875456238648239,0.0815007925350432,0.0471425631612745,6.091250707215013e-05,0.0,47.58450704225352,0.0,50.0,0.352112676056338,141,0.9929577464788732,0,0.0,1,0.0070422535211267,0,0.0
HNEI,CESA,HNEI_HNEI_GradientBoostingSurvival,change_point,0.5,158,121,0.7658227848101266,0.2632821723730815,49429.52408781278,5.561196248827871,0.156421821420841,0.0030164654381825,3.132126549940769,0.0748466284551623,0.0285391197933128,0.0009776284792633,0.0,43.83471074380165,0.0,34.0,0.2809917355371901,113,0.9338842975206612,0,0.0,8,0.0661157024793388,0,0.0
HNEI,CESA,HNEI_HNEI_RSF,0.3333333333333333,0.05,86,86,1.0,0.8571428571428571,20458.807851750866,1.4825385242092592,0.407619474662656,0.0130942497081949,0.0305832835451049,0.3128657497448351,0.0474702778489255,0.0,0.0,25.15116279069768,0.0,86.0,1.0,86,1.0,0,0.0,0,0.0,0,0.0
HNEI,CESA,HNEI_HNEI_RSF,0.3333333333333333,0.1,86,86,1.0,0.8571428571428571,24166.369747202192,1.5564553249885795,0.4088557494654006,0.0131786679535993,0.0306551373824262,0.3160363848143133,0.0440268093020571,0.0,0.0,24.86046511627907,0.0,86.0,1.0,86,1.0,0,0.0,0,0.0,0,0.0
HNEI,CESA,HNEI_HNEI_RSF,0.3333333333333333,0.25,86,86,1.0,0.8554817275747508,27421.58426153264,1.7597693671949166,0.4170371647793894,0.0133341988834598,0.030655137382426,0.3161980122670282,0.0527442074067779,0.0,0.0,25.511627906976745,0.0,86.0,1.0,86,1.0,0,0.0,0,0.0,0,0.0
HNEI,CESA,HNEI_HNEI_RSF,0.3333333333333333,0.5,86,86,1.0,0.7707641196013288,34344.70569130471,2.312114305059961,0.459471239684844,0.0131949843829673,0.0299263481357998,0.3174168716278198,0.0935187005579368,0.0,0.0,28.593023255813957,0.0,86.0,1.0,86,1.0,0,0.0,0,0.0,0,0.0
HNEI,CESA,HNEI_HNEI_RSF,0.6666666666666666,0.05,122,88,0.7213114754098361,0.7613636363636365,57801.50667863397,2.469983231440401,0.3917826090338084,0.0132161974653916,0.0224657627028015,0.2988065084537084,0.0607452342269839,0.0019268065569287,0.0,26.53409090909091,0.0,88.0,1.0,83,0.9431818181818182,0,0.0,5,0.0568181818181818,0,0.0
HNEI,CESA,HNEI_HNEI_RSF,0.6666666666666666,0.1,122,88,0.7213114754098361,0.7288961038961039,61957.47309065066,2.523977725110681,0.4017822036358583,0.0131651408062845,0.0217487816660086,0.2983637879320172,0.0700650365471863,0.0028995173182589,0.0,27.34090909090909,0.0,88.0,1.0,81,0.9204545454545454,0,0.0,7,0.0795454545454545,0,0.0
HNEI,CESA,HNEI_HNEI_RSF,0.6666666666666666,0.25,122,83,0.680327868852459,0.7641996557659209,66537.11009418804,2.4209271186554884,0.4008636755541988,0.0131677458445325,0.0231443824928958,0.297098945614325,0.0724469291928844,0.0020632207350165,0.0,27.44578313253012,0.0,83.0,1.0,80,0.963855421686747,0,0.0,3,0.036144578313253,0,0.0
HNEI,CESA,HNEI_HNEI_RSF,0.6666666666666666,0.5,122,83,0.680327868852459,0.5748709122203098,72516.51280170341,3.444736551354875,0.4364549450484085,0.0132017782051256,0.0222971863690175,0.2959726967102657,0.1016100735171468,0.0077721303367793,0.0,30.228915662650603,0.0,83.0,1.0,69,0.8313253012048193,0,0.0,14,0.1686746987951807,0,0.0
HNEI,CESA,HNEI_HNEI_RSF,change_point,0.05,158,152,0.9620253164556962,0.8026315789473684,16417.23578923643,1.448799104594358,0.3919581462301529,0.0131581324802889,0.0136258522402208,0.3131540398029948,0.0344449590654556,0.0,0.0,24.19736842105263,0.0,152.0,1.0,152,1.0,0,0.0,0,0.0,0,0.0
HNEI,CESA,HNEI_HNEI_RSF,change_point,0.1,158,151,0.9556962025316456,0.7861873226111636,23973.27064210201,1.559161166117502,0.393451619019812,0.0131578498079737,0.0141643483518928,0.3107459829672662,0.0385787887942039,0.0,0.0,24.503311258278146,0.0,151.0,1.0,151,1.0,0,0.0,0,0.0,0,0.0
HNEI,CESA,HNEI_HNEI_RSF,change_point,0.25,158,150,0.9493670886075948,0.7876190476190477,25826.47856171343,1.57327149875958,0.3996333479792034,0.013196303913622,0.0161383574451695,0.3113444882927191,0.0446165965008549,0.0,0.0,24.986666666666668,0.0,150.0,1.0,150,1.0,0,0.0,0,0.0,0,0.0
HNEI,CESA,HNEI_HNEI_RSF,change_point,0.5,158,150,0.9493670886075948,0.7780952380952382,30759.483384172974,1.7908627081735282,0.4135128739797316,0.0131839308062141,0.0172591194962844,0.3104936043399114,0.0601363641459223,0.0,0.0,26.14666666666667,0.0,150.0,1.0,150,1.0,0,0.0,0,0.0,0,0.0
HNEI,MPSO,HNEI_HNEI_CoxPH,0.3333333333333333,0.05,639,433,0.6776212832550861,0.003629165291982872,376922.0903657408,6.078923548432319,1.2407502936483354,0.0020759806209555,7.408219401844811,0.0,0.0,0.0,0.0,0.0,0.0,264.0,0.6096997690531177,0,0.0,0,0.0,0,0.0,0,0.0
HNEI,MPSO,HNEI_HNEI_CoxPH,0.3333333333333333,0.1,639,452,0.7073552425665102,0.003476611883691559,368224.2289852512,6.1384391665297535,1.2554270985466225,0.0020742016131085,7.611227269588486,0.0,0.0,0.0,0.0,0.0,0.0,270.0,0.5973451327433629,0,0.0,0,0.0,0,0.0,0,0.0
HNEI,MPSO,HNEI_HNEI_CoxPH,0.3333333333333333,0.25,639,454,0.7104851330203443,0.002517306482064084,413372.1872885349,6.154924082800435,1.260581986085887,0.0020743226278934,8.534651103411035,0.0,0.0,0.0,0.0,0.0,0.0,248.0,0.5462555066079295,0,0.0,0,0.0,0,0.0,0,0.0
HNEI,MPSO,HNEI_HNEI_CoxPH,0.3333333333333333,0.5,639,448,0.701095461658842,0.0,454128.0811434033,6.246638066660852,1.259359045006899,0.0020721467009415,10.21422296469248,0.0,0.0,0.0,0.0,0.0,0.0,218.0,0.4866071428571428,0,0.0,0,0.0,0,0.0,0,0.0
HNEI,MPSO,HNEI_HNEI_CoxPH,0.6666666666666666,0.05,639,604,0.945226917057903,0.00023651844843897152,396246.224934621,6.1890655850799465,1.2577771194997538,0.0020689429655381,8.652316169990804,0.0,0.0,0.0,0.0,0.0,0.0,340.0,0.5629139072847682,0,0.0,0,0.0,0,0.0,0,0.0
HNEI,MPSO,HNEI_HNEI_CoxPH,0.6666666666666666,0.1,639,607,0.9499217527386542,0.0,436496.03732065967,6.203930448396871,1.2555712139143995,0.0020674368532208,9.521326145246672,0.0,0.0,0.0,0.0,0.0,0.0,315.0,0.5189456342668863,0,0.0,0,0.0,0,0.0,0,0.0
HNEI,MPSO,HNEI_HNEI_CoxPH,0.6666666666666666,0.25,639,613,0.9593114241001564,0.0002330459100442336,452830.9560822988,6.186836199069693,1.257312476678635,0.0020673195794682,10.358404659056925,0.0,0.0,0.0,0.0,0.0,0.0,291.0,0.4747145187601957,0,0.0,0,0.0,0,0.0,0,0.0
HNEI,MPSO,HNEI_HNEI_CoxPH,0.6666666666666666,0.5,639,613,0.9593114241001564,0.0,488255.8303519083,6.230007018924486,1.2523555633560035,0.0020583234910646,11.301560054081516,0.0,0.0,0.0,0.0,0.0,0.0,261.0,0.4257748776508972,0,0.0,0,0.0,0,0.0,0,0.0
HNEI,MPSO,HNEI_HNEI_CoxPH,change_point,0.05,639,622,0.97339593114241,0.002526412494258144,479719.3673695324,6.125393206936622,1.247371005129312,0.002047973609072,11.302651767126529,0.0,0.0,0.0,0.0,0.0,0.0,262.0,0.4212218649517685,0,0.0,0,0.0,0,0.0,0,0.0
HNEI,MPSO,HNEI_HNEI_CoxPH,change_point,0.1,639,622,0.97339593114241,0.0006890215893431417,489900.50339476863,6.13256783573389,1.2444878507249144,0.0020479589235224,10.88212894675577,0.0,0.0,0.0,0.0,0.0,0.0,267.0,0.4292604501607717,0,0.0,0,0.0,0,0.0,0,0.0
HNEI,MPSO,HNEI_HNEI_CoxPH,change_point,0.25,639,625,0.9780907668231612,0.00045714285714280677,504085.6674652788,6.167198300822086,1.2441461137364154,0.0020502483726944,11.4624986439657,0.0,0.0,0.0,0.0,0.0,0.0,246.0,0.3936,0,0.0,0,0.0,0,0.0,0,0.0
HNEI,MPSO,HNEI_HNEI_CoxPH,change_point,0.5,639,627,0.9812206572769951,0.001367053998632985,483264.20754616015,6.171212184494456,1.2404748297584625,0.0020416006152989,11.102792658635432,0.0,0.0,0.0,0.0,0.0,0.0,255.0,0.4066985645933014,0,0.0,0,0.0,0,0.0,0,0.0
HNEI,MPSO,HNEI_HNEI_DeepHIT,0.3333333333333333,0.05,134,60,0.4477611940298507,0.02142857142857148,313031.9489097176,4.6414502981363785,2.214633344764297,0.0037451473496427,0.0001395496975888,0.0,0.0,0.0,0.0,0.0,0.0,60.0,1.0,0,0.0,0,0.0,0,0.0,0,0.0
HNEI,MPSO,HNEI_HNEI_DeepHIT,0.3333333333333333,0.1,134,65,0.4850746268656716,0.01318681318681314,340694.2395179388,4.719462579053467,2.5956092563713007,0.0043440823376071,0.0001162451265824,0.0,0.0,0.0,0.0,0.0,0.0,65.0,1.0,0,0.0,0,0.0,0,0.0,0,0.0
HNEI,MPSO,HNEI_HNEI_DeepHIT,0.3333333333333333,0.25,134,73,0.5447761194029851,0.007827788649706489,369532.66156155366,4.717260145293721,2.492498641097296,0.004114822440299,0.0001289532441087,0.0,0.0,0.0,0.0,0.0,0.0,73.0,1.0,0,0.0,0,0.0,0,0.0,0,0.0
HNEI,MPSO,HNEI_HNEI_DeepHIT,0.3333333333333333,0.5,134,80,0.5970149253731343,0.0071428571428571175,363378.1663609933,4.7730693538727085,2.384535411136312,0.0039915791723615,0.0001223316876923,0.0,0.0,0.0,0.0,0.0,0.0,80.0,1.0,0,0.0,0,0.0,0,0.0,0,0.0
HNEI,MPSO,HNEI_HNEI_DeepHIT,0.6666666666666666,0.05,288,223,0.7743055555555556,0.0019218449711722993,444271.6827564322,5.278034783377755,2.3911108074229754,0.0039998519323367,0.000532795112728,0.0,0.0,0.0,0.0,0.0,0.0,223.0,1.0,0,0.0,0,0.0,0,0.0,0,0.0
HNEI,MPSO,HNEI_HNEI_DeepHIT,0.6666666666666666,0.1,288,227,0.7881944444444444,0.006922592825676485,431367.1231455088,5.361722519788566,2.507292742569267,0.0042048972076941,0.0001980170088449,0.0,0.0,0.0,0.0,0.0,0.0,227.0,1.0,0,0.0,0,0.0,0,0.0,0,0.0
HNEI,MPSO,HNEI_HNEI_DeepHIT,0.6666666666666666,0.25,288,231,0.8020833333333334,0.0037105751391466007,472923.704583928,5.352651289745249,2.376678908224499,0.0039585137054892,0.0001975286747673,0.0,0.0,0.0,0.0,0.0,0.0,231.0,1.0,0,0.0,0,0.0,0,0.0,0,0.0
HNEI,MPSO,HNEI_HNEI_DeepHIT,0.6666666666666666,0.5,288,231,0.8020833333333334,0.0037105751391466007,486335.4166156811,5.468306343438733,2.4507648468002965,0.0040903956518716,0.0001479126999439,0.0,0.0,0.0,0.0,0.0,0.0,231.0,1.0,0,0.0,0,0.0,0,0.0,0,0.0
HNEI,MPSO,HNEI_HNEI_DeepHIT,change_point,0.05,205,97,0.473170731707317,0.01914580265095735,93906.7388382976,3.682113129559793,2.3906114609484783,0.0041064538749309,0.0079173158475722,0.0,0.0,0.0,0.0,0.0,0.0,97.0,1.0,0,0.0,0,0.0,0,0.0,0,0.0
HNEI,MPSO,HNEI_HNEI_DeepHIT,change_point,0.1,205,110,0.5365853658536586,0.011688311688311716,151752.5900343953,4.302976687097636,2.4373733515261184,0.0040469910272143,0.0001473658959365,0.0,0.0,0.0,0.0,0.0,0.0,110.0,1.0,0,0.0,0,0.0,0,0.0,0,0.0
HNEI,MPSO,HNEI_HNEI_DeepHIT,change_point,0.25,205,127,0.6195121951219512,0.01124859392575926,153719.96350371937,4.10247303500378,2.542296473559049,0.004230227724715,0.0005096051793837,0.0,0.0,0.0,0.0,0.0,0.0,127.0,1.0,0,0.0,0,0.0,0,0.0,0,0.0
HNEI,MPSO,HNEI_HNEI_DeepHIT,change_point,0.5,205,129,0.6292682926829268,0.0011074197120708768,220474.78461653265,4.780961831608248,2.4415685596978274,0.0041064972711308,0.0095911964115115,0.0,0.0,0.0,0.0,0.0,0.0,129.0,1.0,0,0.0,0,0.0,0,0.0,0,0.0
HNEI,MPSO,HNEI_HNEI_GradientBoostingSurvival,0.3333333333333333,0.05,158,147,0.930379746835443,0.0038872691933916465,339813.56251817686,4.658454262444129,1.5893494101359231,0.0028228424562752,3.755927664815786,0.0,0.0,0.0,0.0,0.0,0.0,44.0,0.2993197278911564,0,0.0,0,0.0,0,0.0,0,0.0
HNEI,MPSO,HNEI_HNEI_GradientBoostingSurvival,0.3333333333333333,0.1,158,154,0.9746835443037974,0.0,588884.9556069394,5.156457211993285,1.6115800254410717,0.0028480200134573,3.7953921356027527,0.0,0.0,0.0,0.0,0.0,0.0,40.0,0.2597402597402597,0,0.0,0,0.0,0,0.0,0,0.0
HNEI,MPSO,HNEI_HNEI_GradientBoostingSurvival,0.3333333333333333,0.25,158,150,0.9493670886075948,0.0,746717.6087819431,5.325468973782553,1.62773108460727,0.0028823368198936,3.776393449659807,0.0,0.0,0.0,0.0,0.0,0.0,37.0,0.2466666666666666,0,0.0,0,0.0,0,0.0,0,0.0
HNEI,MPSO,HNEI_HNEI_GradientBoostingSurvival,0.3333333333333333,0.5,158,145,0.9177215189873418,0.0,834603.2293591417,5.407911816230416,1.6201312256276463,0.0028785323378919,3.5733434968072157,0.0,0.0,0.0,0.0,0.0,0.0,37.0,0.2551724137931034,0,0.0,0,0.0,0,0.0,0,0.0
HNEI,MPSO,HNEI_HNEI_GradientBoostingSurvival,0.6666666666666666,0.05,158,153,0.9683544303797468,0.0,657415.1952339188,5.261333611675694,1.6188437795295805,0.0028843139733866,3.741863437897249,0.0,0.0,0.0,0.0,0.0,0.0,38.0,0.2483660130718954,0,0.0,0,0.0,0,0.0,0,0.0
